time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-21 00:00:00+00:00,,,7,1
2024-08-22 00:00:00+00:00,8.0,4.0,170,1
2024-08-23 00:00:00+00:00,2.0,1.0,10,2
2024-08-24 00:00:00+00:00,,,36,4
2024-08-25 00:00:00+00:00,3.0,2.0,3,1
2024-08-26 00:00:00+00:00,,,2,1
2024-08-27 00:00:00+00:00,1.0,1.0,6,2
2024-08-28 00:00:00+00:00,2.0,2.0,22,2
2024-08-29 00:00:00+00:00,2.0,2.0,2,1
2024-08-30 00:00:00+00:00,1.0,1.0,5,1
2024-08-31 00:00:00+00:00,,,5,1
2024-09-01 00:00:00+00:00,3.0,1.0,10,2
2024-09-02 00:00:00+00:00,3.0,3.0,5,3
2024-09-03 00:00:00+00:00,1.0,1.0,3,1
