url_path,views_total,views_unique
/timmalich/edukiz,11,7
/timmalich/edukiz/tree/main/src,3,2
/timmalich/edukiz/tree/main/src/components,3,2
/timmalich/edukiz/tree/main/scripts,3,1
/timmalich/edukiz/blob/main/scripts/deploy_github.sh,2,1
/timmalich/edukiz/branches,2,1
/timmalich/edukiz/blob/main/babel.config.js,1,1
/timmalich/edukiz/blob/main/original_svg_images_which_are_to_huge/dragon4.svg,1,1
/timmalich/edukiz/blob/main/public/img/bird1.svg,1,1
/timmalich/edukiz/blob/main/scripts/distribute.sh,1,1
