url_path,views_total,views_unique
/timmalich/edukiz,39,29
/timmalich/edukiz/tree/main/original_svg_images_which_are_to_huge,8,4
/timmalich/edukiz/blob/main/index.html,3,3
/timmalich/edukiz/blob/main/original_svg_images_which_are_to_huge/cat1.svg,2,2
/timmalich/edukiz/blob/main/original_svg_images_which_are_to_huge/dragon4.svg,2,2
/timmalich/edukiz/tree/main/public,2,2
/timmalich/edukiz/tree/main/public/img,2,2
/timmalich/edukiz/tree/main/src,2,2
/timmalich/edukiz/tree/main/src/components,2,2
/timmalich/edukiz/tree/main/.github/workflows,2,1
