time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-23 00:00:00+00:00,31,13,10,5
2026-05-24 00:00:00+00:00,12,5,11,4
2026-05-25 00:00:00+00:00,20,10,9,6
2026-05-26 00:00:00+00:00,10,4,2,2
2026-05-27 00:00:00+00:00,9,4,4,4
2026-05-28 00:00:00+00:00,13,4,2,2
2026-05-29 00:00:00+00:00,4,4,3,3
2026-05-30 00:00:00+00:00,22,7,9,5
2026-05-31 00:00:00+00:00,21,11,4,3
2026-06-01 00:00:00+00:00,21,10,16,3
2026-06-02 00:00:00+00:00,19,9,0,0
2026-06-03 00:00:00+00:00,5,5,1,1
2026-06-04 00:00:00+00:00,12,6,0,0
2026-06-05 00:00:00+00:00,6,4,13,5
