time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-24 00:00:00+00:00,21,8,0,0
2026-01-25 00:00:00+00:00,12,8,19,3
2026-01-26 00:00:00+00:00,17,7,7,4
2026-01-27 00:00:00+00:00,16,7,2,2
2026-01-28 00:00:00+00:00,11,6,1,1
2026-01-29 00:00:00+00:00,7,6,4,3
2026-01-30 00:00:00+00:00,5,4,5,4
2026-01-31 00:00:00+00:00,14,5,4,3
2026-02-01 00:00:00+00:00,22,10,6,4
2026-02-02 00:00:00+00:00,14,8,9,5
2026-02-03 00:00:00+00:00,3,3,7,4
2026-02-04 00:00:00+00:00,12,7,4,4
2026-02-05 00:00:00+00:00,17,8,3,3
2026-02-06 00:00:00+00:00,11,6,5,5
