url_path,views_total,views_unique
/timmalich/edukiz,27,11
/timmalich/edukiz/actions/new,11,1
/timmalich/edukiz/tree/github-repo-stats,7,1
/timmalich/edukiz/tree/github-repo-stats/timmalich/edukiz,6,1
/timmalich/edukiz/network/members,5,2
/timmalich/edukiz/actions/workflows/repostats.yml,3,1
/timmalich/edukiz/blob/github-repo-stats/timmalich/edukiz/latest-report/report.html,3,1
/timmalich/edukiz/runs/4941710286,3,1
/timmalich/edukiz/tree/github-repo-stats/timmalich/edukiz/latest-report,3,1
/timmalich/edukiz/issues,2,2
