time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-22 00:00:00+00:00,86,28,6,4
2026-04-23 00:00:00+00:00,72,26,1,1
2026-04-24 00:00:00+00:00,92,30,5,4
2026-04-25 00:00:00+00:00,32,14,10,6
2026-04-26 00:00:00+00:00,10,5,14,8
2026-04-27 00:00:00+00:00,28,9,0,0
2026-04-28 00:00:00+00:00,27,10,3,2
2026-04-29 00:00:00+00:00,32,10,1,1
2026-04-30 00:00:00+00:00,17,7,7,5
2026-05-01 00:00:00+00:00,56,14,1,1
2026-05-02 00:00:00+00:00,10,4,2,2
2026-05-03 00:00:00+00:00,44,14,2,2
2026-05-04 00:00:00+00:00,26,7,25,2
2026-05-05 00:00:00+00:00,22,7,1,1
