time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-31 00:00:00+00:00,3,2,2,2
2026-08-01 00:00:00+00:00,9,4,3,2
2026-08-02 00:00:00+00:00,23,9,1,1
2026-08-03 00:00:00+00:00,4,3,6,5
2026-08-04 00:00:00+00:00,11,5,13,6
2026-08-05 00:00:00+00:00,5,5,3,2
2026-08-06 00:00:00+00:00,7,2,0,0
2026-08-07 00:00:00+00:00,15,6,2,1
2026-08-08 00:00:00+00:00,15,6,2,2
2026-08-09 00:00:00+00:00,5,5,16,6
2026-08-10 00:00:00+00:00,3,3,4,4
2026-08-11 00:00:00+00:00,9,4,2,2
2026-08-12 00:00:00+00:00,8,4,5,4
2026-08-13 00:00:00+00:00,15,5,19,15
