url_path,views_total,views_unique
/timmalich/edukiz,24,23
/timmalich/edukiz/blob/main/index.html,3,2
/timmalich/edukiz/blob/main/original_svg_images_which_are_to_huge/cat1.svg,2,2
/timmalich/edukiz/blob/main/jest.config.js,1,1
/timmalich/edukiz/blob/main/LICENSE,1,1
/timmalich/edukiz/blob/main/original_svg_images_which_are_to_huge/dragon4.svg,1,1
/timmalich/edukiz/blob/main/original_svg_images_which_are_to_huge/dragon8.svg,1,1
/timmalich/edukiz/blob/main/package.json,1,1
/timmalich/edukiz/blob/main/package-lock.json,1,1
/timmalich/edukiz/blob/main/.prettierrc.json,1,1
