time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-08 00:00:00+00:00,3,3,5,4
2026-05-09 00:00:00+00:00,24,9,6,3
2026-05-10 00:00:00+00:00,25,8,1,1
2026-05-11 00:00:00+00:00,8,3,0,0
2026-05-12 00:00:00+00:00,14,6,0,0
2026-05-13 00:00:00+00:00,25,9,2,2
2026-05-14 00:00:00+00:00,14,3,3,3
2026-05-15 00:00:00+00:00,28,11,8,8
2026-05-16 00:00:00+00:00,14,4,3,3
2026-05-17 00:00:00+00:00,8,4,4,3
2026-05-18 00:00:00+00:00,16,6,15,9
2026-05-19 00:00:00+00:00,10,5,1,1
2026-05-20 00:00:00+00:00,14,5,1,1
2026-05-21 00:00:00+00:00,24,6,1,1
