referrer,views_total,views_unique
Google,41,21
perplexity.ai,4,1
github.com,2,2
chatgpt.com,2,2
edukiz.freecluster.eu,1,1
Bing,1,1
yandex.ru,1,1
timmalich.github.io,1,1
