time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-04 00:00:00+00:00,26,7,25,2
2026-05-05 00:00:00+00:00,22,7,1,1
2026-05-06 00:00:00+00:00,20,10,6,3
2026-05-07 00:00:00+00:00,11,5,1,1
2026-05-08 00:00:00+00:00,3,3,5,4
2026-05-09 00:00:00+00:00,24,9,6,3
2026-05-10 00:00:00+00:00,25,8,1,1
2026-05-11 00:00:00+00:00,8,3,0,0
2026-05-12 00:00:00+00:00,14,6,0,0
2026-05-13 00:00:00+00:00,25,9,2,2
2026-05-14 00:00:00+00:00,14,3,3,3
2026-05-15 00:00:00+00:00,28,11,8,8
2026-05-16 00:00:00+00:00,14,4,3,3
2026-05-17 00:00:00+00:00,8,4,4,3
