time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-18 00:00:00+00:00,17,7,1,1
2026-04-19 00:00:00+00:00,27,11,2,2
2026-04-20 00:00:00+00:00,60,25,6,3
2026-04-21 00:00:00+00:00,69,26,2,2
2026-04-22 00:00:00+00:00,86,28,6,4
2026-04-23 00:00:00+00:00,72,26,1,1
2026-04-24 00:00:00+00:00,92,30,5,4
2026-04-25 00:00:00+00:00,32,14,10,6
2026-04-26 00:00:00+00:00,10,5,14,8
2026-04-27 00:00:00+00:00,28,9,0,0
2026-04-28 00:00:00+00:00,27,10,3,2
2026-04-29 00:00:00+00:00,32,10,1,1
2026-04-30 00:00:00+00:00,17,7,7,5
2026-05-01 00:00:00+00:00,56,14,1,1
