time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-25 00:00:00+00:00,32,14,10,6
2026-04-26 00:00:00+00:00,10,5,14,8
2026-04-27 00:00:00+00:00,28,9,0,0
2026-04-28 00:00:00+00:00,27,10,3,2
2026-04-29 00:00:00+00:00,32,10,1,1
2026-04-30 00:00:00+00:00,17,7,7,5
2026-05-01 00:00:00+00:00,56,14,1,1
2026-05-02 00:00:00+00:00,10,4,2,2
2026-05-03 00:00:00+00:00,44,14,2,2
2026-05-04 00:00:00+00:00,26,7,25,2
2026-05-05 00:00:00+00:00,22,7,1,1
2026-05-06 00:00:00+00:00,20,10,6,3
2026-05-07 00:00:00+00:00,11,5,1,1
2026-05-08 00:00:00+00:00,3,3,5,4
