time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-24 00:00:00+00:00,37,12,0,0
2026-06-25 00:00:00+00:00,21,7,0,0
2026-06-26 00:00:00+00:00,11,3,1,1
2026-06-27 00:00:00+00:00,21,7,8,6
2026-06-28 00:00:00+00:00,2,2,4,4
2026-06-29 00:00:00+00:00,13,4,0,0
2026-06-30 00:00:00+00:00,8,3,3,2
2026-07-01 00:00:00+00:00,9,5,6,5
2026-07-02 00:00:00+00:00,20,6,3,2
2026-07-03 00:00:00+00:00,15,6,42,2
2026-07-04 00:00:00+00:00,9,4,13,2
2026-07-05 00:00:00+00:00,10,4,7,5
2026-07-06 00:00:00+00:00,16,6,9,8
2026-07-07 00:00:00+00:00,4,3,3,3
