time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-22 00:00:00+00:00,12,7,3,3
2026-03-23 00:00:00+00:00,8,3,9,3
2026-03-24 00:00:00+00:00,3,3,11,3
2026-03-25 00:00:00+00:00,9,4,18,4
2026-03-26 00:00:00+00:00,14,5,1,1
2026-03-27 00:00:00+00:00,8,4,6,6
2026-03-28 00:00:00+00:00,15,10,6,3
2026-03-29 00:00:00+00:00,17,8,8,4
2026-03-30 00:00:00+00:00,8,4,3,3
2026-03-31 00:00:00+00:00,12,7,13,3
2026-04-01 00:00:00+00:00,9,4,5,3
2026-04-02 00:00:00+00:00,5,4,9,5
2026-04-03 00:00:00+00:00,4,3,1,1
2026-04-04 00:00:00+00:00,17,7,4,3
